id;codigo_departamento;codigo_municipio;nombre_departamento;nombre_municipio;iso_departamento
a3f552a7-703c-4787-b703-34bb664a8db0;05;05543000;ANTIOQUIA;PEQUE;CO-ANT
e69b3e70-c911-4068-b13a-5b5120643502;05;05576000;ANTIOQUIA;PUEBLORRICO;CO-ANT
7f7f40b7-459a-43cb-a2a1-d64753a3c085;05;05579000;ANTIOQUIA;PUERTO BERRÍO;CO-ANT
572a9907-e074-45d1-83bd-af33ce465468;05;05585000;ANTIOQUIA;PUERTO NARE;CO-ANT
2756910b-5831-40fb-8f96-3ee48f53f077;05;05591000;ANTIOQUIA;PUERTO TRIUNFO;CO-ANT
c54d4d3d-33ea-44f9-94f5-08e9ce5648b9;05;05604000;ANTIOQUIA;REMEDIOS;CO-ANT
541615d1-22c8-40c0-859a-2ac58415023e;05;05607000;ANTIOQUIA;RETIRO;CO-ANT
16ddcfca-527d-4345-89f0-b93567a1fe8a;05;05615000;ANTIOQUIA;RIONEGRO;CO-ANT
53411445-6cf3-4bd7-8395-b18fba90a148;05;05628000;ANTIOQUIA;SABANALARGA;CO-ANT
fbef8e10-4898-4566-b917-7c233b699f70;05;05631000;ANTIOQUIA;SABANETA;CO-ANT
a4fde05f-50d9-442b-b553-058e0087af41;05;05642000;ANTIOQUIA;SALGAR;CO-ANT
39756718-ffb5-4373-94f2-34a4b4ec800f;05;05647000;ANTIOQUIA;SAN ANDRÉS DE CUERQUÍA;CO-ANT
c465594d-8c8c-49bd-8610-92c23da17308;05;05649000;ANTIOQUIA;SAN CARLOS;CO-ANT
8418047e-eb0e-4176-833b-392e3bb8b098;05;05652000;ANTIOQUIA;SAN FRANCISCO;CO-ANT
14f65fea-aa2b-4116-9296-cbd79a70b705;05;05656000;ANTIOQUIA;SAN JERÓNIMO;CO-ANT
741ba0ea-7a7e-4113-9f4c-cd35f559979a;05;05658000;ANTIOQUIA;SAN JOSÉ DE LA MONTAÑA;CO-ANT
2f54297a-e0b9-4e9b-8c9a-caa151f03a3a;05;05659000;ANTIOQUIA;SAN JUAN DE URABÁ;CO-ANT
